"codigo";"lapso";"cod_mat";"cod_comp"
"34171";"2014-1";"I2AB01";"6049"
"34171";"2014-1";"I2BB01";"6050"
"34171";"2014-1";"I2DB01";"6052"
"34171";"2014-1";"I2EB01";"6053"
"34171";"2014-1";"I2FB01";"6054"
"34171";"2014-1";"I2GB01";"6055"
"34171";"2014-1";"I2HB01";"6056"
"34172";"2014-1";"I2AB01";"6049"
"34172";"2014-1";"I2BB01";"6050"
"34172";"2014-1";"I2DB01";"6052"
"34172";"2014-1";"I2EB01";"6053"
"34172";"2014-1";"I2FB01";"6054"
"34172";"2014-1";"I2GB01";"6055"
"34172";"2014-1";"I2HB01";"6056"
"34173";"2014-1";"I2AB01";"6049"
"34173";"2014-1";"I2BB01";"6050"
"34173";"2014-1";"I2DB01";"6052"
"34173";"2014-1";"I2EB01";"6053"
"34173";"2014-1";"I2FB01";"6054"
"34173";"2014-1";"I2GB01";"6055"
"34173";"2014-1";"I2HB01";"6056"
"34174";"2014-1";"I2AB01";"6049"
"34174";"2014-1";"I2BB01";"6050"
"34174";"2014-1";"I2DB01";"6052"
"34174";"2014-1";"I2EB01";"6053"
"34174";"2014-1";"I2FB01";"6054"
"34174";"2014-1";"I2GB01";"6055"
"34174";"2014-1";"I2HB01";"6056"
"34175";"2014-1";"I2AB01";"6049"
"34175";"2014-1";"I2BB01";"6050"
"34175";"2014-1";"I2DB01";"6052"
"34175";"2014-1";"I2EB01";"6053"
"34175";"2014-1";"I2FB01";"6054"
"34175";"2014-1";"I2GB01";"6055"
"34175";"2014-1";"I2HB01";"6056"
"34176";"2014-1";"I2AB01";"6049"
"34176";"2014-1";"I2BB01";"6050"
"34176";"2014-1";"I2DB01";"6052"
"34176";"2014-1";"I2EB01";"6053"
"34176";"2014-1";"I2FB01";"6054"
"34176";"2014-1";"I2GB01";"6055"
"34176";"2014-1";"I2HB01";"6056"
"34177";"2014-1";"I2AB01";"6049"
"34177";"2014-1";"I2BB01";"6050"
"34177";"2014-1";"I2DB01";"6052"
"34177";"2014-1";"I2EB01";"6053"
"34177";"2014-1";"I2FB01";"6054"
"34177";"2014-1";"I2GB01";"6055"
"34177";"2014-1";"I2HB01";"6056"
"34178";"2014-1";"I2AB01";"6049"
"34178";"2014-1";"I2BB01";"6050"
"34178";"2014-1";"I2DB01";"6052"
"34178";"2014-1";"I2EB01";"6053"
"34178";"2014-1";"I2FB01";"6054"
"34178";"2014-1";"I2GB01";"6055"
"34178";"2014-1";"I2HB01";"6056"
"34179";"2014-1";"I2AB01";"6049"
"34179";"2014-1";"I2BB01";"6050"
"34179";"2014-1";"I2DB01";"6052"
"34179";"2014-1";"I2EB01";"6053"
"34179";"2014-1";"I2FB01";"6054"
"34179";"2014-1";"I2GB01";"6055"
"34179";"2014-1";"I2HB01";"6056"
"34181";"2014-1";"I2AB01";"6049"
"34181";"2014-1";"I2BB01";"6050"
"34181";"2014-1";"I2DB01";"6052"
"34181";"2014-1";"I2EB01";"6053"
"34181";"2014-1";"I2FB01";"6054"
"34181";"2014-1";"I2GB01";"6055"
"34181";"2014-1";"I2HB01";"6056"
"34182";"2014-1";"I2AB01";"6049"
"34182";"2014-1";"I2BB01";"6050"
"34182";"2014-1";"I2DB01";"6052"
"34182";"2014-1";"I2EB01";"6053"
"34182";"2014-1";"I2FB01";"6054"
"34182";"2014-1";"I2GB01";"6055"
"34182";"2014-1";"I2HB01";"6056"
"34183";"2014-1";"I2AB01";"6049"
"34183";"2014-1";"I2BB01";"6050"
"34183";"2014-1";"I2DB01";"6052"
"34183";"2014-1";"I2EB01";"6053"
"34183";"2014-1";"I2FB01";"6054"
"34183";"2014-1";"I2GB01";"6055"
"34183";"2014-1";"I2HB01";"6056"
"34184";"2014-1";"I2AB01";"6049"
"34184";"2014-1";"I2BB01";"6050"
"34184";"2014-1";"I2DB01";"6052"
"34184";"2014-1";"I2EB01";"6053"
"34184";"2014-1";"I2FB01";"6054"
"34184";"2014-1";"I2GB01";"6055"
"34184";"2014-1";"I2HB01";"6056"
"34185";"2014-1";"I2AB01";"6049"
"34185";"2014-1";"I2BB01";"6050"
"34185";"2014-1";"I2DB01";"6052"
"34185";"2014-1";"I2EB01";"6053"
"34185";"2014-1";"I2FB01";"6054"
"34185";"2014-1";"I2GB01";"6055"
"34185";"2014-1";"I2HB01";"6056"
