"codigo";"lapso";"cod_mat";"cod_comp"
"5000";"2014-1";"T2AB03";"3800"
"5000";"2014-1";"T2BB03";"3801"
"5000";"2014-1";"T2CB03";"3802"
"5000";"2014-1";"T2DB03";"3803"
"5000";"2014-1";"T2EB03";"3804"
"5000";"2014-1";"T2GB03";"3813"
"5216";"2014-1";"T2AB01";"3800"
"5216";"2014-1";"T2BB01";"3801"
"5216";"2014-1";"T2CB01";"3802"
"5216";"2014-1";"T2DB01";"3803"
"5216";"2014-1";"T2EB01";"3804"
"5216";"2014-1";"T2GB01";"3813"
"27831";"2014-1";"T3AB02";"3805"
"27831";"2014-1";"T3BB02";"3806"
"27831";"2014-1";"T3CB02";"3807"
"27831";"2014-1";"T3EB02";"3809"
"27831";"2014-1";"T3GB02";"3811"
"27831";"2014-1";"T3HB02";"3814"
"27831";"2014-1";"T3IB02";"3935"
"27831";"2014-1";"T3DB02";"3937"
"28651";"2014-1";"T2AB06";"3800"
"28651";"2014-1";"T2BB06";"3801"
"28651";"2014-1";"T2CB06";"3802"
"28651";"2014-1";"T2DB06";"3803"
"28651";"2014-1";"T2EB06";"3804"
"28651";"2014-1";"T2GB06";"3813"
"28802";"2014-1";"T3AB01";"3805"
"28802";"2014-1";"T3BB01";"3806"
"28802";"2014-1";"T3CB01";"3807"
"28802";"2014-1";"T3EB01";"3809"
"28802";"2014-1";"T3GB01";"3811"
"28802";"2014-1";"T3HB01";"3814"
"28802";"2014-1";"T3IB01";"3935"
"28802";"2014-1";"T3DB01";"3937"
"28921";"2014-1";"T2DB12";"3803"
"28921";"2014-1";"T2EB12";"3804"
"29175";"2014-1";"T3AB01";"3805"
"29175";"2014-1";"T3BB01";"3806"
"29175";"2014-1";"T3CB01";"3807"
"29175";"2014-1";"T3EB01";"3809"
"29175";"2014-1";"T3GB01";"3811"
"29175";"2014-1";"T3HB01";"3814"
"29175";"2014-1";"T3IB01";"3935"
"29175";"2014-1";"T3DB01";"3937"
"29183";"2014-1";"T2EB03";"3804"
"29199";"2014-1";"T2AB03";"3800"
"29199";"2014-1";"T2BB03";"3801"
"29199";"2014-1";"T2CB03";"3802"
"29199";"2014-1";"T2DB03";"3803"
"29199";"2014-1";"T2EB03";"3804"
"29199";"2014-1";"T2GB03";"3813"
"29212";"2014-1";"T2AB03";"3800"
"29212";"2014-1";"T2BB03";"3801"
"29212";"2014-1";"T2CB03";"3802"
